# gapseq version: 1.2 2d739a56
# Transporter sequence DB md5sum: b99a77e (2024-05-19)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P0A334|1.A.1.1.1	1.A.1.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0A334|1.A.1.1.1	23.776	3.79e-07	45.4	84	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	130	267	transporter
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	25.926	9.3	22.3	79	tr|A0A0H3GMM9|A0A0H3GMM9_KLEPH Cytoplasmic protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_19300 PE=3 SV=1	22	101	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	31.818	5.57e-06	39.7	80	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	164	227	transporter
gnl|TC-DB|Q8L1H6|1.A.1.14.2	1.A.1.14.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8L1H6|1.A.1.14.2	22.511	0.24	29.6	82	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	21	241	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	34.184	1.18e-28	107	75	tr|A0A0H3GP68|A0A0H3GP68_KLEPH Oxidoreductase, short chain dehydrogenase/reductase family OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_12190 PE=3 SV=1	15	206	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	31.276	4.86e-16	73.2	80	tr|A0A0H3H4A2|A0A0H3H4A2_KLEPH Oxidoreductase OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_50260 PE=3 SV=1	2	233	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q81HW2|1.A.1.21.1	27.500	4.41e-06	41.2	100	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	134	248	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q81HW2|1.A.1.21.1	27.500	4.41e-06	41.2	100	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	134	248	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	23.923	7.04e-04	37.0	82	tr|A0A0H3GZ22|A0A0H3GZ22_KLEPH Stringent starvation protein A OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_47680 PE=3 SV=1	21	210	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.196	7.40e-04	37.0	77	tr|A0A0H3GZ22|A0A0H3GZ22_KLEPH Stringent starvation protein A OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_47680 PE=3 SV=1	21	196	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.000	3.01e-09	52.4	84	tr|A0A0H3GZ22|A0A0H3GZ22_KLEPH Stringent starvation protein A OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_47680 PE=3 SV=1	21	202	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	26.923	2.33e-07	47.0	78	tr|A0A0H3GUF4|A0A0H3GUF4_KLEPH Glutathione S-transferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_50220 PE=3 SV=1	14	190	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	93.396	2.40e-149	410	100	tr|A0A0H3GZ22|A0A0H3GZ22_KLEPH Stringent starvation protein A OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_47680 PE=3 SV=1	1	212	transporter
